"id","building_id","car_type","time","temporary_parking_count","subscriptions_count","parking_rate","parked_count","created_at"
1605030,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 15:54:00",11,25,0.0895522,36,"2024-11-04 09:08:48"
1605038,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 16:24:00",17,25,0.104478,42,"2024-11-04 09:08:48"
1605043,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 16:54:00",23,25,0.119403,48,"2024-11-04 09:08:48"
1605050,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 17:24:00",27,25,0.129353,52,"2024-11-04 09:08:48"
1605054,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 17:54:00",32,25,0.141791,57,"2024-11-04 09:08:49"
1605060,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 18:24:00",35,25,0.149254,60,"2024-11-04 09:08:49"
1605066,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 18:54:00",37,25,0.154229,62,"2024-11-04 09:08:49"
1605074,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 19:24:00",41,24,0.161692,65,"2024-11-04 09:08:49"
1605079,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 19:54:00",42,24,0.164179,66,"2024-11-04 09:08:49"
1605085,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 20:24:00",42,24,0.164179,66,"2024-11-04 09:08:49"
1605090,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 20:54:00",43,24,0.166667,67,"2024-11-04 09:08:49"
1605096,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 21:24:00",47,24,0.176617,71,"2024-11-04 09:08:49"
1605103,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 21:54:00",50,24,0.18408,74,"2024-11-04 09:08:49"
1605109,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 22:24:00",52,24,0.189055,76,"2024-11-04 09:08:49"
1605115,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 22:54:00",49,24,0.181592,73,"2024-11-04 09:08:49"
1605121,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 23:24:00",51,24,0.186567,75,"2024-11-04 09:08:49"
1605127,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-09-30 23:54:00",50,24,0.18408,74,"2024-11-04 09:08:49"
1605133,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 00:24:00",48,25,0.181592,73,"2024-11-04 09:08:49"
1605139,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 00:54:00",42,26,0.169154,68,"2024-11-04 09:08:49"
1605145,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 01:24:00",38,27,0.161692,65,"2024-11-04 09:08:49"
1605150,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 01:54:00",37,27,0.159204,64,"2024-11-04 09:08:49"
1605156,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 02:24:00",30,27,0.141791,57,"2024-11-04 09:08:49"
1605162,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 02:54:00",23,28,0.126866,51,"2024-11-04 09:08:49"
1605168,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 03:24:00",19,28,0.116915,47,"2024-11-04 09:08:49"
1605175,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 03:54:00",14,29,0.106965,43,"2024-11-04 09:08:49"
1605183,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 04:24:00",15,29,0.109453,44,"2024-11-04 09:08:49"
1605188,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 04:54:00",14,29,0.106965,43,"2024-11-04 09:08:49"
1605195,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 05:24:00",13,29,0.104478,42,"2024-11-04 09:08:49"
1605198,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 05:54:00",8,29,0.0920398,37,"2024-11-04 09:08:49"
1605203,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 06:24:00",8,29,0.0920398,37,"2024-11-04 09:08:49"
1605213,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 06:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605217,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 07:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605224,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 07:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605229,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 08:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605235,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 08:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605240,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 09:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605245,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 09:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605250,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 10:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605257,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 10:54:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
1605263,"5f7add94-6426-4b3c-82bb-9266fc97f523","car","2024-10-01 11:24:00",7,28,0.0870647,35,"2024-11-04 09:08:49"
