"id","building_id","car_type","time","temporary_parking_count","subscriptions_count","parking_rate","parked_count","created_at"
1627528,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 15:54:00",10,1,0.1375,11,"2024-11-04 09:10:07"
1627532,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 16:24:00",19,1,0.25,20,"2024-11-04 09:10:07"
1627536,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 16:54:00",29,1,0.375,30,"2024-11-04 09:10:07"
1627540,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 17:24:00",34,1,0.4375,35,"2024-11-04 09:10:07"
1627544,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 17:54:00",45,1,0.575,46,"2024-11-04 09:10:07"
1627548,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 18:24:00",48,0,0.6,48,"2024-11-04 09:10:07"
1627552,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 18:54:00",54,0,0.675,54,"2024-11-04 09:10:07"
1627554,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 19:24:00",62,0,0.775,62,"2024-11-04 09:10:07"
1627560,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 19:54:00",67,0,0.8375,67,"2024-11-04 09:10:07"
1627562,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 20:24:00",66,0,0.825,66,"2024-11-04 09:10:07"
1627566,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 20:54:00",70,0,0.875,70,"2024-11-04 09:10:07"
1627572,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 21:24:00",68,0,0.85,68,"2024-11-04 09:10:07"
1627576,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 21:54:00",67,0,0.8375,67,"2024-11-04 09:10:07"
1627579,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 22:24:00",71,0,0.8875,71,"2024-11-04 09:10:07"
1627581,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 22:54:00",69,0,0.8625,69,"2024-11-04 09:10:07"
1627588,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 23:24:00",67,0,0.8375,67,"2024-11-04 09:10:07"
1627591,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-09-30 23:54:00",62,0,0.775,62,"2024-11-04 09:10:07"
1627593,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 00:24:00",50,0,0.625,50,"2024-11-04 09:10:07"
1627597,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 00:54:00",48,0,0.6,48,"2024-11-04 09:10:07"
1627601,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 01:24:00",43,0,0.5375,43,"2024-11-04 09:10:07"
1627605,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 01:54:00",38,0,0.475,38,"2024-11-04 09:10:07"
1627609,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 02:24:00",36,0,0.45,36,"2024-11-04 09:10:07"
1627613,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 02:54:00",34,0,0.425,34,"2024-11-04 09:10:07"
1627617,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 03:24:00",31,0,0.3875,31,"2024-11-04 09:10:07"
1627621,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 03:54:00",31,0,0.3875,31,"2024-11-04 09:10:07"
1627625,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 04:24:00",28,0,0.35,28,"2024-11-04 09:10:07"
1627629,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 04:54:00",21,0,0.2625,21,"2024-11-04 09:10:07"
1627633,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 05:24:00",15,0,0.1875,15,"2024-11-04 09:10:07"
1627637,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 05:54:00",11,0,0.1375,11,"2024-11-04 09:10:07"
1627641,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 06:24:00",8,0,0.1,8,"2024-11-04 09:10:07"
1627645,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 06:54:00",5,0,0.0625,5,"2024-11-04 09:10:07"
1627649,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 07:24:00",4,1,0.0625,5,"2024-11-04 09:10:07"
1627653,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 07:54:00",4,1,0.0625,5,"2024-11-04 09:10:07"
1627655,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 08:24:00",4,1,0.0625,5,"2024-11-04 09:10:07"
1627660,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 08:54:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627665,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 09:24:00",6,1,0.0875,7,"2024-11-04 09:10:07"
1627669,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 09:54:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627671,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 10:24:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627677,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 10:54:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627681,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 11:24:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627685,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 11:54:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627689,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 12:24:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627693,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 12:54:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627697,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 13:24:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627701,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 13:54:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627705,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 14:24:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627708,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 14:54:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627710,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 15:24:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627717,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 15:54:00",5,1,0.075,6,"2024-11-04 09:10:07"
1627721,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 16:24:00",6,1,0.0875,7,"2024-11-04 09:10:07"
1627722,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 16:54:00",7,1,0.1,8,"2024-11-04 09:10:07"
1627729,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 17:24:00",8,1,0.1125,9,"2024-11-04 09:10:07"
1627733,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 17:54:00",9,1,0.125,10,"2024-11-04 09:10:07"
1627735,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 18:24:00",11,1,0.15,12,"2024-11-04 09:10:07"
1627739,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 18:54:00",12,1,0.1625,13,"2024-11-04 09:10:07"
1627742,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 19:24:00",13,0,0.1625,13,"2024-11-04 09:10:07"
1627747,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 19:54:00",12,0,0.15,12,"2024-11-04 09:10:07"
1627752,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 20:24:00",13,0,0.1625,13,"2024-11-04 09:10:07"
1627757,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 20:54:00",13,0,0.1625,13,"2024-11-04 09:10:07"
1627761,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 21:24:00",14,0,0.175,14,"2024-11-04 09:10:07"
1627763,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-01 21:54:00",12,0,0.15,12,"2024-11-04 09:10:07"
